Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\Views\MainView.xaml.cs,7,8,T:System.Windows.RoutedEventHandler,,,,,Loaded += MainView_Loaded;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\Views\MainView.xaml.cs,7,8,E:System.Windows.FrameworkElement.Loaded,,,,,Loaded += MainView_Loaded;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\Views\MainView.xaml.cs,4,4,M:System.Windows.Window.#ctor,,,,,public MainView(MainViewModel mainViewModel)      {          InitializeComponent();          Loaded += MainView_Loaded;          MainViewModel = mainViewModel;      }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\Views\MainView.g.i.cs,42,81,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\Views\MainView.xaml.cs,2,32,T:System.Windows.Window,,,,,Window
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\UserControls\StatisticsControl.g.i.cs,58,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\UserControls\StatisticsControl.g.i.cs,58,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\UserControls\StatisticsControl.g.i.cs,55,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/SearchComparisonNet.GUI;V1.0.0.0;component/usercontrols/statisticscontrol.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\UserControls\StatisticsControl.g.i.cs,55,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/SearchComparisonNet.GUI;V1.0.0.0;component/usercontrols/statisticscontrol.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\UserControls\StatisticsControl.xaml.cs,6,4,M:System.Windows.Controls.UserControl.#ctor,,,,,public StatisticsControl()      {          InitializeComponent();      }
